"","ID","LAT","LONG","count"
"1","X10374",61.617,-64.983,2
"2","X10700",63.85,-65.183,2
"3","X10700",66.567,-61.383,2
"4","X10709",64.433,-64.867,2
"5","X10709",64.5,-65.783,2
"6","X11974",58.2,-62.533,2
"7","X11974",59.1,-63.683,2
"8","X11975",58.517,-63.017,2
"9","X11975",58.533,-62.983,2
"10","X11975",58.55,-62.733,2
"11","X11975",58.567,-62.8,3
"12","X11975",58.617,-62.917,2
"13","X11975",58.7,-63.167,2
"14","X11975",58.733,-62.917,2
"15","X11975",58.85,-63.117,2
"16","X12086",57.883,-62.15,5
"17","X12086",58.383,-62.533,2
"18","X12092",60.333,-64.517,4
"19","X12092",60.333,-64.5,5
"20","X12092",60.383,-64.517,2
"21","X13289",62.769,-63.849,14
"22","X13289",65.091,-63.723,5
"23","X13292",64.655,-65.247,20
"24","X13292",64.897,-63.569,13
"25","X13428",66.474,-62.167,25
"26","X13746",66.344,-64.08,12
"27","X13746",67.088,-63.871,25
