"","ID","area","area_km2"
"1","X10695",424061436691.928,424061.436691928
"2","X10700",538287989492.079,538287.989492079
"3","X10703",184699669890.422,184699.669890422
"4","X10707",338359393051.66,338359.39305166
"5","X10709",298645814216.88,298645.81421688
"6","X11974",48422415671.4057,48422.4156714057
"7","X11975",8545733927.50459,8545.73392750459
"8","X12080",1064149121146.31,1064149.12114631
"9","X12086",7016444335.56094,7016.44433556094
"10","X12092",77052400139.8381,77052.4001398381
"11","X13284",370439296675.172,370439.296675172
"12","X13289",257299928965.93,257299.92896593
"13","X13292",792176900004.255,792176.900004255
"14","X13428",315197124327.776,315197.124327776
"15","X13437",533205612320.435,533205.612320435
"16","X13746",209461483643.728,209461.483643728
"17","X30126",129633291055.289,129633.291055289
"18","X30129",114789181023.457,114789.181023457
"19","X30131",588089069380.658,588089.069380658
"20","X30135",122395372126.819,122395.372126819
"21","X30140",99152523467.7457,99152.5234677456
