"","X","DIST_WATER","ROWID_2","ID","DATE","DAY","MONTH","YEAR","TIME","SEASON","LONG","LAT","USED_AVAIL","BATH","date_char","CONC","DIST_LAND","DIST_WATER_M","USE","BATH_SCALED","DIST_SCALED","CONC_SCALED","DIST_WATER_SCALED","W","CONC_2","CONC_2_SCALED"
"1",1563,10.6853631879673,4601,10695,"1991-12-17",17,"December",1991,"20:24:00","freeze",-71.167,61.433,1,-67.7656326293945,19911217,0,20869.2959363205,1186075.31386437,"used",0.787289649940102,-1.05270306479515,-3.14963258155099,2.69247353175578,1,0,-2.45477950692338
"2",1578,10.290006715544,5360,10695,"1992-01-31",31,"January",1992,"15:00:00","freeze",-69.317,60.65,1,-52.7179985046387,19920131,0,16137.35473504,1142190.74542538,"used",0.805754225658259,-1.102154948573,-3.14963258155099,2.54838592274814,1,0,-2.45477950692338
"3",3134,0.6428956,35833,13284,"1993-02-13",13,"February",1993,NA,"freeze",-51.826,60.561,1,-3192.849,19930213,0,180177.9,71361.4116,"used",-3.04742203855303,0.612176154506444,-3.14963258155099,-0.967502323496437,1,0,-2.45477950692338
"4",3153,2.019465,35727,13284,"1993-02-05",5,"February",1993,NA,"freeze",-54.722,61.135,1,-2903.658,19930205,0,285973.7,224160.615,"used",-2.69256299079583,1.7178115339928,-3.14963258155099,-0.465811805409455,1,0,-2.45477950692338
"5",3154,2.272548,35780,13284,"1993-02-09",9,"February",1993,NA,"freeze",-53.936,61.103,1,-2989.504,19930209,0,252745.3,252252.828,"used",-2.79790247167098,1.37055299779642,-3.14963258155099,-0.373575742782313,1,0,-2.45477950692338
"6",3155,2.948132,35880,13284,"1993-02-17",17,"February",1993,NA,"freeze",-54.466,61.868,1,-2821.909,19930217,0,233925.4,327242.652,"used",-2.59225083621597,1.1738727205227,-3.14963258155099,-0.127359252010925,1,0,-2.45477950692338
"7",5213,0.4682266,41271,13289,"1993-11-03",3,"November",1993,NA,"freeze",-63.354,65.145,1,4.83632,19931103,0,0,51973.1526,"used",0.876377691322374,-1.27080087143933,-3.14963258155099,-1.03116041520161,1,0,-2.45477950692338
"8",5220,0.4164233,39075,13289,"1992-11-02",2,"November",1992,NA,"freeze",-63.127,65.295,1,-13.56713,19921102,0,10126.61,46222.9863,"used",0.853795277822482,-1.16497116657146,-3.14963258155099,-1.05004012036985,1,0,-2.45477950692338
"9",5221,0.5163555,39125,13289,"1992-11-08",8,"November",1992,NA,"freeze",-62.172,65.838,1,-22.47924,19921108,0,5803.625,57315.4605,"used",0.842859450400095,-1.21014919028307,-3.14963258155099,-1.01361984458021,1,0,-2.45477950692338
"10",5232,2.061921,39707,13289,"1993-01-13",13,"January",1993,NA,"freeze",-55.833,61.493,1,-2814.058,19930113,0,319352.3,228873.231,"used",-2.58261707035209,2.06663975853218,-3.14963258155099,-0.450338722369907,1,0,-2.45477950692338
"11",5233,1.726275,39754,13289,"1993-01-19",19,"January",1993,NA,"freeze",-56.113,60.67,1,-2943.017,19930119,0,380728.6,191616.525,"used",-2.74085943591575,2.70806227948261,-3.14963258155099,-0.572664858366991,1,0,-2.45477950692338
"12",5234,1.976992,39809,13289,"1993-01-25",25,"January",1993,NA,"freeze",-54.506,61.351,1,-2842.244,19930125,0,262210.9,219446.112,"used",-2.61720340644168,1.46947471536996,-3.14963258155099,-0.481291084096537,1,0,-2.45477950692338
"13",5235,2.60066,39855,13289,"1993-01-31",31,"January",1993,NA,"freeze",-54.965,62.171,1,-2664.331,19930131,0,236091.8,288673.26,"used",-2.39889081108557,1.19651301896668,-3.14963258155099,-0.253995371992031,1,0,-2.45477950692338
"14",6654,0.3644019,47292,13292,"1993-11-03",3,"November",1993,NA,"freeze",-63.416,64.979,1,35.25225,19931103,0,3377.039,40448.6109,"used",0.913700318777758,-1.23550860278306,-3.14963258155099,-1.06899931205144,1,0,-2.45477950692338
"15",6657,0.5219862,45100,13292,"1992-11-02",2,"November",1992,NA,"freeze",-63.429,65.142,1,0,19921102,0,0,57940.4682,"used",0.870443163934422,-1.27080087143933,-3.14963258155099,-1.01156773678224,1,0,-2.45477950692338
"16",6658,0.5170421,45144,13292,"1992-11-08",8,"November",1992,NA,"freeze",-63.359,65.228,1,-3.194549,19921108,0,33.40177,57391.6731,"used",0.866523212704427,-1.27045180107312,-3.14963258155099,-1.01336961330984,1,0,-2.45477950692338
"17",8394,3.126322,66354,30135,"1998-01-14",14,"January",1998,"16:59:00","freeze",-63.263,58.959,1,-38.519,19980114,0,0,347021.742,"used",0.823177461818659,-1.27080087143933,-3.14963258155099,-0.0624179323666559,1,0,-2.45477950692338
"18",8395,3.080601,66408,30135,"1998-01-26",26,"January",1998,"15:45:00","freeze",-63.138,58.869,1,-43.679,19980126,0,1130.067,341946.711,"used",0.816845754793104,-1.25899093138132,-3.14963258155099,-0.0790809441824459,1,0,-2.45477950692338
"19",8398,4.462,66572,30135,"1998-02-19",19,"February",1998,"19:43:00","freeze",-64.445,60.113,1,-1.886,19980219,0,1895.933,495282,"used",0.868128900475082,-1.25098713023282,-3.14963258155099,0.424369720923751,1,0,-2.45477950692338
"20",8415,0.8584266,69125,30135,"1999-12-06",6,"December",1999,"23:31:00","freeze",-68.021,60.296,1,26.376,19991206,0,0,95285.3526,"used",0.902808494265049,-1.27080087143933,-3.14963258155099,-0.888952081820424,1,0,-2.45477950692338
